Index,Sinhala Comment
1,පොඩි මයිනටකලන්තෙ දාල
2,දක්වා නිදාගෙනද හිටියේ කියලා තමයි සභාපති නිරොෂණ මහතාගෙන් අහන්න තියෙන්නෙ
3,බෙහෙවින් ඉස්තුති නව අන්ඩුවට
4,ජිවිතාන්තය දක්වා හිරේ දාන්න ඔනේ ලන්කාවේ හොරකම සහමුලින්ම නැතිකරන්නම්
5,අවුරුදු ගානක් බලන් හිටියා යුක්තිය ඉටුවෙනකම්
6,කලින් ආන්ඩුව වගේ අල්ලන මත්ද්රව්ය රාජසන්තක උනාටනැවත ජනතාවට එනවාවෙන වෙන මාර්ග වලින්මෙි රජයෙන් වත් එහෙම නොකරයි කියලා හිතනවා
7,හොඳ වැනි පල්කා හොරුන්ට පවුලුන් හැදිගෑවි ය ජනපති තුමන් ජයෝ ජයවේවා
8,උතුරු මැද පළාත් ආණ්ඩුකාර තුමා ඔහුගේ බිරිඳ ලක්ෂ විසි හතකටඅවුරුදු සිර ගෙදරට යැව්වා නම්මහින්දානන්ද මිලියන ගානක් වංචා කර අවුරුදු තිරගත කළේ ඇයිනීතියත් හරියට නීතිපතිට ඕන විදිහට තමා මෙහෙයවන්නේමුලින්ම නීතිය හරියට ක්රියාත්මක නොකරන ලෝයර්ස්ලා මහාවුළු ගෙදරට යැවිය යුතුයි
9,උතුරු මැද පළාත් ආණ්ඩුකාර තුමා ඔහුගේ බිරිඳ ලක්ෂ විසි හතකටඅවුරුදු සිර ගෙදරට යැව්වා නම්මහින්දානන්ද මිලියන ගානක් වංචා කර අවුරුදු තිරගත කළේ ඇයිනීතියත් හරියට නීතිපතිට ඕන විදිහට තමා මෙහෙයවන්නේමුලින්ම නීතිය හරියට ක්රියාත්මක නොකරන ලෝයර්ස්ලා මහාවුළු ගෙදරට යැවිය යුතුයි
10,උතුරු මැද පළාත් ආණ්ඩුකාර තුමා ඔහුගේ බිරිඳ ලක්ෂ විසි හතකටඅවුරුදු සිර ගෙදරට යැව්වා නම්මහින්දානන්ද මිලියන ගානක් වංචා කර අවුරුදු තිරගත කළේ ඇයිනීතියත් හරියට නීතිපතිට ඕන විදිහට තමා මෙහෙයවන්නේමුලින්ම නීතිය හරියට ක්රියාත්මක නොකරන ලෝයර්ස්ලා මහාවුළු ගෙදරට යැවිය යුතුයි
11,උතුරු මැද පළාත් ආණ්ඩුකාර තුමා ඔහුගේ බිරිඳ ලක්ෂ විසි හතකටඅවුරුදු සිර ගෙදරට යැව්වා නම්මහින්දානන්ද මිලියන ගානක් වංචා කර අවුරුදු තිරගත කළේ ඇයිනීතියත් හරියට නීතිපතිට ඕන විදිහට තමා මෙහෙයවන්නේමුලින්ම නීතිය හරියට ක්රියාත්මක නොකරන ලෝයර්ස්ලා මහාවුළු ගෙදරට යැවිය යුතුයි
